"X1","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","RP_address","RI","OI","UT","refID","PT","PY","PU","year","country"
"19","19","19","BLAIR, WF","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600017","17","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"20","20","20","DUNMIRE, WW","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600018","18","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"21","21","21","JACOBS, ME","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600019","19","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"22","22","22","ROSE, SM","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600020","20","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"23","23","23","HUTCHISON, VH","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63600021","21","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"25","25","25","KNIGHT, FB","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700001","22","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"28","28","28","SHOREY, HH","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700002","23","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"29","29","29","TURNER, FB","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700003","24","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"30","30","30","STICKEL, LF","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700004","25","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"32","32","32","WOHLSCHLAG, DE","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700005","26","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"33","33","33","LOESCH, H","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700006","27","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"34","34","34","KETELLAPPER, HJ","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700007","28","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"35","35","35","EVANS, RA","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700008","29","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"36","36","36","BROWN, JH","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700009","30","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"38","38","38","DIX, RL","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700010","31","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"39","39","39","HABECK, JR","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700011","32","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"41","41","55","HARTMAN, RT","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700012","33","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"43","43","43","VANCE, BD","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700013","34","J","1960","WILEY","1960","USA"
"44","44","44","DAVIS, MB","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63700014","35","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"47","47","47","LOOMAN, J","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800001","36","J","1960","ECOLOGICAL SOC AMER","1960","Canada"
"48","48","48","PATERSON, RA","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800002","37","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"49","49","49","EDWARDS, RY","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800003","38","J","1960","ECOLOGICAL SOC AMER","1960","Canada"
"52","52","52","AHLGREN, CE","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800004","39","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"53","53","53","RICE, EL","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800005","40","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"54","54","54","MEDIN, DE","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800006","41","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"56","56","56","WALKER, PC","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800007","42","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"57","57","57","BROCK, EM","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800008","43","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"58","58","58","HALL, JG","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800009","44","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"59","59","59","PEARSON, OP","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800010","45","J","1960","WILEY","1960","USA"
"60","60","60","PACKER, WC","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800011","46","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"61","61","61","GULLION, GW","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63800012","47","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"62","62","62","PRESTON, FW","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900001","48","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"64","64","64","CROSSLEY, DA","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900002","49","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"65","65","65","KLIMSTRA, WD","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900003","50","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"68","68","68","SNYDER, RL","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900004","51","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"69","69","69","INGLES, LG","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900005","52","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"70","70","70","HEATWOLE, H","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900006","53","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"71","71","71","BOVBJERG, RV","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900007","54","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"72","72","72","SMALLEY, AE","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900008","55","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"73","73","73","SINDERMANN, CJ","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900009","56","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"74","74","74","FREY, DG","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900010","57","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"75","75","75","AMMAN, GD","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900011","58","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"77","77","77","ADAMS, WH","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900012","59","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"79","79","79","MORGAN, PV","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900013","60","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"80","80","80","BRAY, JR","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900014","61","J","1960","ECOLOGICAL SOC AMER","1960","Canada"
"82","82","82","WILLIAMS, WA","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900015","62","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"83","83","83","BEALS, EW","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900016","63","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"85","85","85","GRAHAM, A","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900017","64","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"87","87","87","ECKERT, RE","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900018","65","J","1960","ECOLOGICAL SOC AMER","1960","USA"
"89","89","89","MCKELL, CM","1","Could not be extracted",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WOS:A1960WR63900019","66","J","1960","ECOLOGICAL SOC AMER","1960","USA"
